id_Producto1,Nombre_producto_1,id_Producto2,Nombre_producto_2,Cantidad_de_repeticiones
47626,Large Lemon,8518,Organic Red Onion,665
47209,Organic Hass Avocado,24964,Organic Garlic,657
13176,Bag of Organic Bananas,39877,Organic Granny Smith Apple,650
21137,Organic Strawberries,19057,Organic Large Extra Fancy Fuji Apple,650
47209,Organic Hass Avocado,45007,Organic Zucchini,645
21137,Organic Strawberries,24964,Organic Garlic,640
13176,Bag of Organic Bananas,44359,Organic Small Bunch Celery,632
21137,Organic Strawberries,8518,Organic Red Onion,597
47766,Organic Avocado,45007,Organic Zucchini,597
13176,Bag of Organic Bananas,22035,Organic Whole String Cheese,587
13176,Bag of Organic Bananas,27104,Fresh Cauliflower,586
47626,Large Lemon,40706,Organic Grape Tomatoes,577
47766,Organic Avocado,16797,Strawberries,575
21137,Organic Strawberries,37646,Organic Gala Apples,574
8518,Organic Red Onion,31717,Organic Cilantro,571
47766,Organic Avocado,24964,Organic Garlic,568
27966,Organic Raspberries,30391,Organic Cucumber,566
16797,Strawberries,39275,Organic Blueberries,563
24964,Organic Garlic,8518,Organic Red Onion,563
13176,Bag of Organic Bananas,30489,Original Hummus,561
13176,Bag of Organic Bananas,12341,Hass Avocados,554
47766,Organic Avocado,30391,Organic Cucumber,548
16797,Strawberries,4920,Seedless Red Grapes,543
47209,Organic Hass Avocado,8518,Organic Red Onion,540
47626,Large Lemon,22935,Organic Yellow Onion,539
21137,Organic Strawberries,31717,Organic Cilantro,537
13176,Bag of Organic Bananas,28985,Michigan Organic Kale,535
47766,Organic Avocado,4605,Yellow Onions,535
47766,Organic Avocado,8518,Organic Red Onion,531
47766,Organic Avocado,31717,Organic Cilantro,528
47626,Large Lemon,8424,Broccoli Crown,526
24964,Organic Garlic,31717,Organic Cilantro,518
21137,Organic Strawberries,30489,Original Hummus,515
21137,Organic Strawberries,22035,Organic Whole String Cheese,515
47209,Organic Hass Avocado,31717,Organic Cilantro,509
47626,Large Lemon,31717,Organic Cilantro,507
30391,Organic Cucumber,40706,Organic Grape Tomatoes,505
21137,Organic Strawberries,39877,Organic Granny Smith Apple,503
47626,Large Lemon,27966,Organic Raspberries,502
47766,Organic Avocado,27845,Organic Whole Milk,501
47626,Large Lemon,27845,Organic Whole Milk,498
47209,Organic Hass Avocado,40706,Organic Grape Tomatoes,498
21137,Organic Strawberries,27104,Fresh Cauliflower,497
45007,Organic Zucchini,22935,Organic Yellow Onion,497
47209,Organic Hass Avocado,19057,Organic Large Extra Fancy Fuji Apple,496
24964,Organic Garlic,34126,Organic Italian Parsley Bunch,492
13176,Bag of Organic Bananas,49235,Organic Half & Half,490
13176,Bag of Organic Bananas,46667,Organic Ginger Root,487
30391,Organic Cucumber,45007,Organic Zucchini,487
47209,Organic Hass Avocado,39275,Organic Blueberries,485
30391,Organic Cucumber,8518,Organic Red Onion,485
21137,Organic Strawberries,8277,Apple Honeycrisp Organic,483
47626,Large Lemon,28985,Michigan Organic Kale,480
47626,Large Lemon,39275,Organic Blueberries,479
47766,Organic Avocado,27966,Organic Raspberries,479
47766,Organic Avocado,8424,Broccoli Crown,475
13176,Bag of Organic Bananas,34126,Organic Italian Parsley Bunch,474
47626,Large Lemon,4920,Seedless Red Grapes,474
45007,Organic Zucchini,24964,Organic Garlic,472
47766,Organic Avocado,24184,Red Peppers,470
47626,Large Lemon,34126,Organic Italian Parsley Bunch,468
47209,Organic Hass Avocado,27845,Organic Whole Milk,465
13176,Bag of Organic Bananas,28204,Organic Fuji Apple,462
21137,Organic Strawberries,44359,Organic Small Bunch Celery,462
47766,Organic Avocado,4920,Seedless Red Grapes,459
27966,Organic Raspberries,5876,Organic Lemon,459
24964,Organic Garlic,5876,Organic Lemon,458
45007,Organic Zucchini,8518,Organic Red Onion,457
13176,Bag of Organic Bananas,27521,Organic Lacinato (Dinosaur) Kale,454
47766,Organic Avocado,22935,Organic Yellow Onion,453
13176,Bag of Organic Bananas,24838,Unsweetened Almondmilk,452
21137,Organic Strawberries,37067,Organic Banana,450
22935,Organic Yellow Onion,31717,Organic Cilantro,449
47766,Organic Avocado,39275,Organic Blueberries,447
22935,Organic Yellow Onion,8518,Organic Red Onion,446
13176,Bag of Organic Bananas,18465,Organic Grade A Free Range Large Brown Eggs,445
47626,Large Lemon,24184,Red Peppers,445
13176,Bag of Organic Bananas,17794,Carrots,444
24964,Organic Garlic,46667,Organic Ginger Root,444
47626,Large Lemon,34358,Garlic,443
30391,Organic Cucumber,5876,Organic Lemon,440
13176,Bag of Organic Bananas,11520,Large Alfresco Eggs,438
27966,Organic Raspberries,19057,Organic Large Extra Fancy Fuji Apple,434
47209,Organic Hass Avocado,42265,Organic Baby Carrots,429
13176,Bag of Organic Bananas,19660,Spring Water,427
47626,Large Lemon,49683,Cucumber Kirby,424
30391,Organic Cucumber,22935,Organic Yellow Onion,418
47626,Large Lemon,42265,Organic Baby Carrots,417
47209,Organic Hass Avocado,44359,Organic Small Bunch Celery,417
30391,Organic Cucumber,24964,Organic Garlic,415
47766,Organic Avocado,28985,Michigan Organic Kale,413
27966,Organic Raspberries,27845,Organic Whole Milk,412
22935,Organic Yellow Onion,5876,Organic Lemon,412
27966,Organic Raspberries,45007,Organic Zucchini,410
30391,Organic Cucumber,44359,Organic Small Bunch Celery,404
40706,Organic Grape Tomatoes,8518,Organic Red Onion,404
47766,Organic Avocado,49683,Cucumber Kirby,403
21137,Organic Strawberries,8424,Broccoli Crown,401
47209,Organic Hass Avocado,37646,Organic Gala Apples,401
47209,Organic Hass Avocado,8277,Apple Honeycrisp Organic,401
22935,Organic Yellow Onion,44359,Organic Small Bunch Celery,401
30391,Organic Cucumber,31717,Organic Cilantro,399
45007,Organic Zucchini,40706,Organic Grape Tomatoes,397
24964,Organic Garlic,4605,Yellow Onions,388
13176,Bag of Organic Bananas,24489,Organic Whole Strawberries,386
47626,Large Lemon,20114,Jalapeno Peppers,386
47766,Organic Avocado,42265,Organic Baby Carrots,385
27966,Organic Raspberries,22935,Organic Yellow Onion,385
27966,Organic Raspberries,40706,Organic Grape Tomatoes,385
21137,Organic Strawberries,28204,Organic Fuji Apple,384
47626,Large Lemon,44359,Organic Small Bunch Celery,384
24964,Organic Garlic,44359,Organic Small Bunch Celery,384
45007,Organic Zucchini,4605,Yellow Onions,383
47626,Large Lemon,17794,Carrots,376
21137,Organic Strawberries,18465,Organic Grade A Free Range Large Brown Eggs,375
47766,Organic Avocado,34969,Red Vine Tomato,374
21137,Organic Strawberries,28985,Michigan Organic Kale,373
22935,Organic Yellow Onion,34126,Organic Italian Parsley Bunch,373
31717,Organic Cilantro,34126,Organic Italian Parsley Bunch,373
21137,Organic Strawberries,4605,Yellow Onions,372
47209,Organic Hass Avocado,27104,Fresh Cauliflower,372
47626,Large Lemon,28204,Organic Fuji Apple,370
47766,Organic Avocado,28204,Organic Fuji Apple,370
47209,Organic Hass Avocado,37067,Organic Banana,365
13176,Bag of Organic Bananas,4605,Yellow Onions,364
13176,Bag of Organic Bananas,3957,100% Raw Coconut Water,363
13176,Bag of Organic Bananas,27344,Uncured Genoa Salami,362
21137,Organic Strawberries,49235,Organic Half & Half,362
45007,Organic Zucchini,24184,Red Peppers,361
13176,Bag of Organic Bananas,24184,Red Peppers,359
47209,Organic Hass Avocado,30489,Original Hummus,359
39275,Organic Blueberries,30391,Organic Cucumber,357
13176,Bag of Organic Bananas,5077,100% Whole Wheat Bread,356
13176,Bag of Organic Bananas,33731,Grated Parmesan,356
47209,Organic Hass Avocado,39877,Organic Granny Smith Apple,355
13176,Bag of Organic Bananas,46906,Grape White/Green Seedless,354
13176,Bag of Organic Bananas,34243,Organic Baby Broccoli,352
21137,Organic Strawberries,34126,Organic Italian Parsley Bunch,352
45007,Organic Zucchini,27104,Fresh Cauliflower,351
8518,Organic Red Onion,5876,Organic Lemon,350
47766,Organic Avocado,30489,Original Hummus,348
27966,Organic Raspberries,24964,Organic Garlic,348
47626,Large Lemon,27104,Fresh Cauliflower,347
13176,Bag of Organic Bananas,8424,Broccoli Crown,346
47209,Organic Hass Avocado,28985,Michigan Organic Kale,346
39275,Organic Blueberries,42265,Organic Baby Carrots,346
47626,Large Lemon,34969,Red Vine Tomato,344
45007,Organic Zucchini,31717,Organic Cilantro,343
21137,Organic Strawberries,11520,Large Alfresco Eggs,342
13176,Bag of Organic Bananas,6184,Clementines,341
45007,Organic Zucchini,8424,Broccoli Crown,341
13176,Bag of Organic Bananas,17948,Frozen Organic Wild Blueberries,340
27845,Organic Whole Milk,24964,Organic Garlic,340
45007,Organic Zucchini,5876,Organic Lemon,338
42265,Organic Baby Carrots,30489,Original Hummus,338
47766,Organic Avocado,37646,Organic Gala Apples,337
47626,Large Lemon,30489,Original Hummus,336
21137,Organic Strawberries,27344,Uncured Genoa Salami,335
21137,Organic Strawberries,17794,Carrots,334
27845,Organic Whole Milk,45007,Organic Zucchini,334
47766,Organic Avocado,27104,Fresh Cauliflower,333
27845,Organic Whole Milk,22035,Organic Whole String Cheese,332
13176,Bag of Organic Bananas,43122,Organic Bartlett Pear,330
21137,Organic Strawberries,260,Cantaloupe,330
47209,Organic Hass Avocado,4920,Seedless Red Grapes,330
16797,Strawberries,42265,Organic Baby Carrots,330
21137,Organic Strawberries,46906,Grape White/Green Seedless,327
22935,Organic Yellow Onion,17794,Carrots,327
27845,Organic Whole Milk,30391,Organic Cucumber,326
27966,Organic Raspberries,8277,Apple Honeycrisp Organic,325
47626,Large Lemon,46667,Organic Ginger Root,324
31717,Organic Cilantro,5876,Organic Lemon,324
21137,Organic Strawberries,12341,Hass Avocados,323
30391,Organic Cucumber,42265,Organic Baby Carrots,323
21137,Organic Strawberries,24184,Red Peppers,322
24964,Organic Garlic,17794,Carrots,322
30391,Organic Cucumber,37646,Organic Gala Apples,321
21137,Organic Strawberries,33731,Grated Parmesan,319
47209,Organic Hass Avocado,46667,Organic Ginger Root,319
47626,Large Lemon,37646,Organic Gala Apples,318
27966,Organic Raspberries,8518,Organic Red Onion,318
31717,Organic Cilantro,20114,Jalapeno Peppers,318
21137,Organic Strawberries,5077,100% Whole Wheat Bread,317
27966,Organic Raspberries,39877,Organic Granny Smith Apple,317
24964,Organic Garlic,40706,Organic Grape Tomatoes,314
13176,Bag of Organic Bananas,34969,Red Vine Tomato,313
27966,Organic Raspberries,37646,Organic Gala Apples,313
30391,Organic Cucumber,19057,Organic Large Extra Fancy Fuji Apple,313
30391,Organic Cucumber,39877,Organic Granny Smith Apple,312
13176,Bag of Organic Bananas,260,Cantaloupe,311
24964,Organic Garlic,27104,Fresh Cauliflower,311
27845,Organic Whole Milk,4920,Seedless Red Grapes,309
45007,Organic Zucchini,17794,Carrots,309
47209,Organic Hass Avocado,18465,Organic Grade A Free Range Large Brown Eggs,308
27845,Organic Whole Milk,22935,Organic Yellow Onion,308
30391,Organic Cucumber,28985,Michigan Organic Kale,308
31717,Organic Cilantro,46667,Organic Ginger Root,308
13176,Bag of Organic Bananas,33198,Sparkling Natural Mineral Water,306
47209,Organic Hass Avocado,34126,Organic Italian Parsley Bunch,306
27966,Organic Raspberries,42265,Organic Baby Carrots,305
39275,Organic Blueberries,27845,Organic Whole Milk,305
22935,Organic Yellow Onion,40706,Organic Grape Tomatoes,305
27966,Organic Raspberries,31717,Organic Cilantro,304
27966,Organic Raspberries,4920,Seedless Red Grapes,303
45007,Organic Zucchini,44359,Organic Small Bunch Celery,302
47626,Large Lemon,39877,Organic Granny Smith Apple,301
44359,Organic Small Bunch Celery,34126,Organic Italian Parsley Bunch,301
13176,Bag of Organic Bananas,31506,Extra Virgin Olive Oil,299
27966,Organic Raspberries,30489,Original Hummus,299
16797,Strawberries,8424,Broccoli Crown,298
27966,Organic Raspberries,27104,Fresh Cauliflower,298
4920,Seedless Red Grapes,42265,Organic Baby Carrots,297
47766,Organic Avocado,20114,Jalapeno Peppers,296
16797,Strawberries,27845,Organic Whole Milk,296
16797,Strawberries,28204,Organic Fuji Apple,295
16797,Strawberries,45007,Organic Zucchini,294
21137,Organic Strawberries,46667,Organic Ginger Root,293
21137,Organic Strawberries,24838,Unsweetened Almondmilk,291
39275,Organic Blueberries,40706,Organic Grape Tomatoes,291
22935,Organic Yellow Onion,24184,Red Peppers,291
39275,Organic Blueberries,45007,Organic Zucchini,290
45007,Organic Zucchini,34126,Organic Italian Parsley Bunch,290
27966,Organic Raspberries,22035,Organic Whole String Cheese,289
16797,Strawberries,21288,Blackberries,288
39275,Organic Blueberries,4920,Seedless Red Grapes,287
47626,Large Lemon,27521,Organic Lacinato (Dinosaur) Kale,286
47209,Organic Hass Avocado,22035,Organic Whole String Cheese,286
45007,Organic Zucchini,28985,Michigan Organic Kale,286
4605,Yellow Onions,34358,Garlic,286
16797,Strawberries,30391,Organic Cucumber,285
22935,Organic Yellow Onion,27104,Fresh Cauliflower,283
16797,Strawberries,4605,Yellow Onions,280
5876,Organic Lemon,46667,Organic Ginger Root,280
30391,Organic Cucumber,34126,Organic Italian Parsley Bunch,279
8518,Organic Red Onion,24184,Red Peppers,279
16797,Strawberries,40706,Organic Grape Tomatoes,278
16797,Strawberries,12341,Hass Avocados,278
24964,Organic Garlic,28985,Michigan Organic Kale,278
4605,Yellow Onions,17794,Carrots,278
21137,Organic Strawberries,27521,Organic Lacinato (Dinosaur) Kale,277
27845,Organic Whole Milk,40706,Organic Grape Tomatoes,277
44359,Organic Small Bunch Celery,17794,Carrots,277
47209,Organic Hass Avocado,27521,Organic Lacinato (Dinosaur) Kale,276
40706,Organic Grape Tomatoes,31717,Organic Cilantro,276
5876,Organic Lemon,34126,Organic Italian Parsley Bunch,276
22935,Organic Yellow Onion,46667,Organic Ginger Root,275
4605,Yellow Onions,24184,Red Peppers,275
31717,Organic Cilantro,44359,Organic Small Bunch Celery,274
47209,Organic Hass Avocado,17794,Carrots,273
27966,Organic Raspberries,44359,Organic Small Bunch Celery,273
40706,Organic Grape Tomatoes,42265,Organic Baby Carrots,273
31717,Organic Cilantro,27104,Fresh Cauliflower,273
13176,Bag of Organic Bananas,33000,Pure Irish Butter,272
8518,Organic Red Onion,4605,Yellow Onions,272
45007,Organic Zucchini,4920,Seedless Red Grapes,271
21137,Organic Strawberries,43122,Organic Bartlett Pear,270
8518,Organic Red Onion,34126,Organic Italian Parsley Bunch,270
47626,Large Lemon,40604,Feta Cheese Crumbles,268
47766,Organic Avocado,28849,No Salt Added Black Beans,268
16797,Strawberries,27966,Organic Raspberries,268
13176,Bag of Organic Bananas,42828,Whipped Cream Cheese,267
47209,Organic Hass Avocado,24838,Unsweetened Almondmilk,266
30391,Organic Cucumber,27104,Fresh Cauliflower,266
13176,Bag of Organic Bananas,36695,Organic Hothouse Cucumbers,265
13176,Bag of Organic Bananas,35221,Lime Sparkling Water,262
47766,Organic Avocado,44359,Organic Small Bunch Celery,262
45007,Organic Zucchini,42265,Organic Baby Carrots,262
30391,Organic Cucumber,46667,Organic Ginger Root,260
16797,Strawberries,24184,Red Peppers,259
13176,Bag of Organic Bananas,42768,Organic Garbanzo Beans,258
27845,Organic Whole Milk,42265,Organic Baby Carrots,258
47766,Organic Avocado,17794,Carrots,257
47766,Organic Avocado,40604,Feta Cheese Crumbles,257
4605,Yellow Onions,8424,Broccoli Crown,257
47626,Large Lemon,31506,Extra Virgin Olive Oil,256
47209,Organic Hass Avocado,24184,Red Peppers,256
27845,Organic Whole Milk,8518,Organic Red Onion,255
4920,Seedless Red Grapes,40706,Organic Grape Tomatoes,255
47209,Organic Hass Avocado,11520,Large Alfresco Eggs,254
47209,Organic Hass Avocado,34243,Organic Baby Broccoli,254
47766,Organic Avocado,19057,Organic Large Extra Fancy Fuji Apple,253
8518,Organic Red Onion,44359,Organic Small Bunch Celery,253
8518,Organic Red Onion,20114,Jalapeno Peppers,253
47766,Organic Avocado,39877,Organic Granny Smith Apple,252
24964,Organic Garlic,27521,Organic Lacinato (Dinosaur) Kale,252
4605,Yellow Onions,31717,Organic Cilantro,252
24489,Organic Whole Strawberries,17948,Frozen Organic Wild Blueberries,252
4920,Seedless Red Grapes,28204,Organic Fuji Apple,250
47209,Organic Hass Avocado,28204,Organic Fuji Apple,249
8518,Organic Red Onion,40604,Feta Cheese Crumbles,248
13176,Bag of Organic Bananas,4799,Shredded Parmesan,247
8518,Organic Red Onion,28985,Michigan Organic Kale,247
13176,Bag of Organic Bananas,24830,Organic Romaine,246
13176,Bag of Organic Bananas,43768,Organic Bell Pepper,246
21137,Organic Strawberries,4799,Shredded Parmesan,246
47209,Organic Hass Avocado,16797,Strawberries,246
30391,Organic Cucumber,4920,Seedless Red Grapes,245
22935,Organic Yellow Onion,19057,Organic Large Extra Fancy Fuji Apple,245
8518,Organic Red Onion,27104,Fresh Cauliflower,245
5876,Organic Lemon,44359,Organic Small Bunch Celery,245
13176,Bag of Organic Bananas,3952,Organic Broccoli Crowns,243
47766,Organic Avocado,5876,Organic Lemon,243
47626,Large Lemon,33731,Grated Parmesan,241
47766,Organic Avocado,22035,Organic Whole String Cheese,241
47626,Large Lemon,49235,Organic Half & Half,240
47626,Large Lemon,8277,Apple Honeycrisp Organic,240
30391,Organic Cucumber,24184,Red Peppers,240
21137,Organic Strawberries,34243,Organic Baby Broccoli,239
21137,Organic Strawberries,34969,Red Vine Tomato,238
47626,Large Lemon,14992,Green Beans,236
39275,Organic Blueberries,12341,Hass Avocados,236
30391,Organic Cucumber,30489,Original Hummus,236
24964,Organic Garlic,24184,Red Peppers,236
8518,Organic Red Onion,17794,Carrots,236
8518,Organic Red Onion,46667,Organic Ginger Root,236
8424,Broccoli Crown,24184,Red Peppers,236
13176,Bag of Organic Bananas,20114,Jalapeno Peppers,235
47626,Large Lemon,19057,Organic Large Extra Fancy Fuji Apple,235
27845,Organic Whole Milk,30489,Original Hummus,235
13176,Bag of Organic Bananas,10246,Organic Celery Hearts,234
27966,Organic Raspberries,37067,Organic Banana,234
40706,Organic Grape Tomatoes,5876,Organic Lemon,233
47766,Organic Avocado,34126,Organic Italian Parsley Bunch,232
24964,Organic Garlic,8424,Broccoli Crown,232
47209,Organic Hass Avocado,4605,Yellow Onions,231
22935,Organic Yellow Onion,28985,Michigan Organic Kale,231
40706,Organic Grape Tomatoes,24184,Red Peppers,231
31717,Organic Cilantro,35939,Organic Jalapeno Pepper,230
47626,Large Lemon,11520,Large Alfresco Eggs,229
39275,Organic Blueberries,5876,Organic Lemon,229
27845,Organic Whole Milk,49235,Organic Half & Half,229
45007,Organic Zucchini,19057,Organic Large Extra Fancy Fuji Apple,229
13176,Bag of Organic Bananas,46802,Pineapple Chunks,227
27845,Organic Whole Milk,37646,Organic Gala Apples,227
27966,Organic Raspberries,24838,Unsweetened Almondmilk,226
27845,Organic Whole Milk,19057,Organic Large Extra Fancy Fuji Apple,226
30391,Organic Cucumber,8424,Broccoli Crown,226
28985,Michigan Organic Kale,44359,Organic Small Bunch Celery,226
44359,Organic Small Bunch Celery,46667,Organic Ginger Root,226
13176,Bag of Organic Bananas,49683,Cucumber Kirby,225
13176,Bag of Organic Bananas,34358,Garlic,225
47626,Large Lemon,42736,Unsalted Butter,225
47766,Organic Avocado,11520,Large Alfresco Eggs,225
13176,Bag of Organic Bananas,40604,Feta Cheese Crumbles,224
21137,Organic Strawberries,43768,Organic Bell Pepper,224
47626,Large Lemon,18465,Organic Grade A Free Range Large Brown Eggs,224
47766,Organic Avocado,27521,Organic Lacinato (Dinosaur) Kale,224
16797,Strawberries,49683,Cucumber Kirby,224
27966,Organic Raspberries,28985,Michigan Organic Kale,224
39275,Organic Blueberries,8518,Organic Red Onion,224
30391,Organic Cucumber,4605,Yellow Onions,224
30391,Organic Cucumber,27521,Organic Lacinato (Dinosaur) Kale,224
31717,Organic Cilantro,17794,Carrots,223
47626,Large Lemon,24838,Unsweetened Almondmilk,222
47766,Organic Avocado,24838,Unsweetened Almondmilk,222
47209,Organic Hass Avocado,8424,Broccoli Crown,222
47209,Organic Hass Avocado,3957,100% Raw Coconut Water,222
45007,Organic Zucchini,37646,Organic Gala Apples,222
5876,Organic Lemon,19057,Organic Large Extra Fancy Fuji Apple,222
47626,Large Lemon,15937,Shallot,221
39275,Organic Blueberries,22935,Organic Yellow Onion,221
30391,Organic Cucumber,8277,Apple Honeycrisp Organic,221
4605,Yellow Onions,20114,Jalapeno Peppers,221
21137,Organic Strawberries,31506,Extra Virgin Olive Oil,220
21137,Organic Strawberries,36695,Organic Hothouse Cucumbers,219
27966,Organic Raspberries,24489,Organic Whole Strawberries,219
27845,Organic Whole Milk,8424,Broccoli Crown,219
40706,Organic Grape Tomatoes,4605,Yellow Onions,219
31717,Organic Cilantro,24184,Red Peppers,219
39275,Organic Blueberries,37646,Organic Gala Apples,218
5876,Organic Lemon,39877,Organic Granny Smith Apple,218
21137,Organic Strawberries,3957,100% Raw Coconut Water,217
27845,Organic Whole Milk,4605,Yellow Onions,217
8518,Organic Red Onion,34358,Garlic,217
13176,Bag of Organic Bananas,47144,Unsweetened Original Almond Breeze Almond Milk,216
13176,Bag of Organic Bananas,5479,Italian Sparkling Mineral Water,216
21137,Organic Strawberries,49683,Cucumber Kirby,216
8518,Organic Red Onion,34969,Red Vine Tomato,216
4605,Yellow Onions,44359,Organic Small Bunch Celery,216
13176,Bag of Organic Bananas,32655,Organic Large Grade AA Brown Eggs,215
21137,Organic Strawberries,42828,Whipped Cream Cheese,215
47766,Organic Avocado,46667,Organic Ginger Root,215
47209,Organic Hass Avocado,34969,Red Vine Tomato,215
5876,Organic Lemon,27104,Fresh Cauliflower,215
13176,Bag of Organic Bananas,11182,Baby Spinach,214
21137,Organic Strawberries,40604,Feta Cheese Crumbles,214
13176,Bag of Organic Bananas,42701,Organic Sour Cream,213
16797,Strawberries,8518,Organic Red Onion,213
16797,Strawberries,5077,100% Whole Wheat Bread,212
27966,Organic Raspberries,17948,Frozen Organic Wild Blueberries,212
24964,Organic Garlic,4920,Seedless Red Grapes,212
4605,Yellow Onions,34126,Organic Italian Parsley Bunch,212
5876,Organic Lemon,27521,Organic Lacinato (Dinosaur) Kale,212
47766,Organic Avocado,8277,Apple Honeycrisp Organic,211
30391,Organic Cucumber,17794,Carrots,211
30391,Organic Cucumber,22035,Organic Whole String Cheese,211
40706,Organic Grape Tomatoes,27104,Fresh Cauliflower,211
8518,Organic Red Onion,8424,Broccoli Crown,211
13176,Bag of Organic Bananas,25659,Organic Coconut Milk,210
22935,Organic Yellow Onion,37646,Organic Gala Apples,210
8518,Organic Red Onion,42265,Organic Baby Carrots,210
27104,Fresh Cauliflower,44359,Organic Small Bunch Celery,210
13176,Bag of Organic Bananas,13870,Lightly Salted Baked Snap Pea Crisps,209
47209,Organic Hass Avocado,20114,Jalapeno Peppers,209
30391,Organic Cucumber,34969,Red Vine Tomato,209
24964,Organic Garlic,20114,Jalapeno Peppers,209
42265,Organic Baby Carrots,37646,Organic Gala Apples,209
31717,Organic Cilantro,28985,Michigan Organic Kale,209
13176,Bag of Organic Bananas,16185,Sharp Cheddar Cheese,208
21137,Organic Strawberries,34358,Garlic,208
27966,Organic Raspberries,18465,Organic Grade A Free Range Large Brown Eggs,208
27845,Organic Whole Milk,31717,Organic Cilantro,207
42265,Organic Baby Carrots,44359,Organic Small Bunch Celery,206
13176,Bag of Organic Bananas,13629,Organic Snipped Green Beans,205
16797,Strawberries,34969,Red Vine Tomato,205
39275,Organic Blueberries,24964,Organic Garlic,205
5876,Organic Lemon,37646,Organic Gala Apples,204
44359,Organic Small Bunch Celery,39877,Organic Granny Smith Apple,204
21137,Organic Strawberries,33000,Pure Irish Butter,203
47209,Organic Hass Avocado,5077,100% Whole Wheat Bread,203
27966,Organic Raspberries,34126,Organic Italian Parsley Bunch,203
4605,Yellow Onions,28985,Michigan Organic Kale,202
47766,Organic Avocado,18465,Organic Grade A Free Range Large Brown Eggs,201
45007,Organic Zucchini,30489,Original Hummus,201
45007,Organic Zucchini,39877,Organic Granny Smith Apple,201
47766,Organic Avocado,46906,Grape White/Green Seedless,200
47626,Large Lemon,28849,No Salt Added Black Beans,199
40706,Organic Grape Tomatoes,34126,Organic Italian Parsley Bunch,199
42265,Organic Baby Carrots,19057,Organic Large Extra Fancy Fuji Apple,199
31717,Organic Cilantro,27521,Organic Lacinato (Dinosaur) Kale,199
5876,Organic Lemon,28985,Michigan Organic Kale,199
21137,Organic Strawberries,35221,Lime Sparkling Water,198
40706,Organic Grape Tomatoes,30489,Original Hummus,198
28985,Michigan Organic Kale,17794,Carrots,198
21137,Organic Strawberries,13629,Organic Snipped Green Beans,197
47766,Organic Avocado,49235,Organic Half & Half,197
47766,Organic Avocado,31506,Extra Virgin Olive Oil,197
47209,Organic Hass Avocado,33731,Grated Parmesan,197
22935,Organic Yellow Onion,27521,Organic Lacinato (Dinosaur) Kale,197
40706,Organic Grape Tomatoes,44359,Organic Small Bunch Celery,197
5876,Organic Lemon,30489,Original Hummus,197
13176,Bag of Organic Bananas,30776,Organic Raw Kombucha Gingerade,196
