{Strained Whole-Milk Yogurt Blueberry, Strawberry Rhubarb Yogurt, Vanilla Skyr Style Yogurt} => {Mixed Berries Whole Milk Icelandic Style Skyr Yogurt}: 0.769
{Blueberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Pineapple on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.769
{Peach on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Pineapple on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.909
{Blueberry on the Bottom Nonfat Greek Yogurt, Pineapple on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.722
{Peach on the Bottom Nonfat Greek Yogurt, Pineapple on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.722
{Kiwi Sandia Sparkling Water, Curate Cherry Lime Sparkling Water, Curate Pomme Baya-Apple Berry Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 0.857
{Kiwi Sandia Sparkling Water, Blackberry Cucumber Sparkling Water, Curate Pomme Baya-Apple Berry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 0.706
{Curate Cherry Lime Sparkling Water, Blackberry Cucumber Sparkling Water, Curate Pomme Baya-Apple Berry Sparkling Water} => {Kiwi Sandia Sparkling Water}: 0.800
{Bag of Organic Bananas, Organic Raspberries, Organic Black Plum} => {Organic Strawberries}: 0.769
{Organic Strawberries, Organic Raspberries, Organic Black Plum} => {Bag of Organic Bananas}: 0.769
{Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt}: 0.714
{Blueberry on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.769
{Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Blueberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.800
{Peach on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.889
{Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Peach on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.800
{Blueberry on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.789
{Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.714
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Blueberry on the Bottom Nonfat Greek Yogurt, Low-Fat Mango on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.812
{Blackberry Yogurt, Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.909
{Blackberry Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% Greek Strained Yogurt with Cherry 5.3 oz} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.733
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Blackberry Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.706
{Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Grapefruit Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 0.714
{Pineapple Strawberry Sparkling Water, Blackberry Cucumber Sparkling Water, Grapefruit Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Passionfruit Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 0.722
{Pineapple Strawberry Sparkling Water, Passionfruit Sparkling Water, Blackberry Cucumber Sparkling Water} => {Kiwi Sandia Sparkling Water, Curate Cherry Lime Sparkling Water}: 0.750
{Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water} => {Kiwi Sandia Sparkling Water, Blackberry Cucumber Sparkling Water}: 0.750
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Blackberry Cucumber Sparkling Water} => {Passionfruit Sparkling Water}: 0.750
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Passionfruit Sparkling Water, Blackberry Cucumber Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 0.923
{Kiwi Sandia Sparkling Water, Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water, Blackberry Cucumber Sparkling Water} => {Pineapple Strawberry Sparkling Water}: 0.706
{Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water, Blackberry Cucumber Sparkling Water} => {Kiwi Sandia Sparkling Water}: 0.800
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 0.842
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water, Blackberry Cucumber Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 0.800
{Pineapple Strawberry Sparkling Water, Curate Cherry Lime Sparkling Water, Blackberry Cucumber Sparkling Water} => {Kiwi Sandia Sparkling Water}: 0.727
{Lemon Fruit & Nut Food Bar, Coconut Cream Pie, Cherry Pie Fruit & Nut Bar} => {Apple Pie Fruit & Nut Food Bar}: 0.800
{Lemon Fruit & Nut Food Bar, Coconut Cream Pie, Apple Pie Fruit & Nut Food Bar} => {Cherry Pie Fruit & Nut Bar}: 0.706
{Coconut Cream Pie, Cherry Pie Fruit & Nut Bar, Apple Pie Fruit & Nut Food Bar} => {Lemon Fruit & Nut Food Bar}: 0.706
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.769
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Blueberry on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.750
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.750
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Blueberry on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.786
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.733
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Blueberry on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.722
{Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.812
{Dairy Free Coconut Milk Raspberry Yogurt Alternative, Dairy Free Coconut Milk Yogurt Alternative, Dairy Free Coconut Milk Vanilla Yogurt Alternative} => {Dairy Free Coconut Milk Blueberry Yogurt Alternative}: 0.733
{Natural Lemon Flavored Sparkling Water, Grapefruit Sparkling Water, Orange Sparkling Water} => {Lemon Sparkling Water}: 0.917
{Cran-Raspberry Flavored Sparkling Water, Kiwi Sandia Sparkling Water, Passionfruit Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 0.714
{Cran-Raspberry Flavored Sparkling Water, Kiwi Sandia Sparkling Water, Blackberry Cucumber Sparkling Water} => {Passionfruit Sparkling Water}: 0.769
{Cran-Raspberry Flavored Sparkling Water, Passionfruit Sparkling Water, Blackberry Cucumber Sparkling Water} => {Kiwi Sandia Sparkling Water}: 0.909
{Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.759
{Panda Puffs Peanut Butter Cereal, Bag of Organic Bananas, Organic Raspberries} => {Organic Strawberries}: 0.714
{Panda Puffs Peanut Butter Cereal, Organic Strawberries, Organic Raspberries} => {Bag of Organic Bananas}: 0.714
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}: 0.769
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt with Peach, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}: 0.714
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.714
{Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}: 0.923
{Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}: 0.750
{Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 0% Blueberry Acai Greek Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.750
{Cherry Pomegranate Greek Yogurt, Fat Free Strawberry Yogurt, Total 0% Blueberry Acai Greek Yogurt} => {Total 0% Raspberry Yogurt}: 0.800
{Cherry Pomegranate Greek Yogurt, Total 0% Raspberry Yogurt, Total 0% Blueberry Acai Greek Yogurt} => {Fat Free Strawberry Yogurt}: 0.750
{Blueberry on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 0.750
{Peach on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt, Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 0.750
{"Tortillas, Bag of Organic Bananas, Organic Yellow Onion} => {Organic Hass Avocado}: 0.750
{"Tortillas, Organic Yellow Onion, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.857
{Cherry Pomegranate Greek Yogurt, Fat Free Blueberry Yogurt, Total 0% Raspberry Yogurt} => {Fat Free Strawberry Yogurt}: 0.800
{Cherry Pomegranate Greek Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry, Fat Free Strawberry Yogurt} => {Total 0% Raspberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 0% Raspberry Yogurt} => {Fat Free Strawberry Yogurt}: 0.769
{Organic Raspberries, Free & Clear Unscented Baby Wipes, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.714
{Frozen Peaches, Banana, Pineapple Chunks} => {Mango Chunks}: 0.800
{Sparkling Water Berry, All Natural Apricot Sparkling Water, Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}: 0.929
{Sparkling Lemon Water, All Natural Apricot Sparkling Water, Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}: 0.833
{Sparkling Lemon Water, All Natural Apricot Sparkling Water, Lime Sparkling Water} => {Sparkling Water Grapefruit}: 0.800
{Sparkling Lemon Water, All Natural Apricot Sparkling Water, Sparkling Water Grapefruit} => {Lime Sparkling Water}: 0.750
{Organic Strawberries, Organic Cucumber, Blueberry Whole Milk Yogurt Pouch} => {Organic Whole Milk Strawberry Beet Berry Yogurt Pouch}: 0.857
{Organic Cucumber, Blueberry Whole Milk Yogurt Pouch, Organic Whole Milk Strawberry Beet Berry Yogurt Pouch} => {Organic Strawberries}: 0.800
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Fat Free Strawberry Yogurt, Fat Free Blueberry Yogurt} => {Total 0% Raspberry Yogurt}: 0.769
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Fat Free Blueberry Yogurt, Total 0% Raspberry Yogurt} => {Fat Free Strawberry Yogurt}: 0.909
{Total 2% All Natural Greek Strained Yogurt with Honey, Fat Free Strawberry Yogurt, Fat Free Blueberry Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 0.769
{Total 2% All Natural Greek Strained Yogurt with Honey, Fat Free Strawberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Fat Free Blueberry Yogurt}: 0.769
{Total 2% All Natural Greek Strained Yogurt with Honey, Fat Free Blueberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Fat Free Strawberry Yogurt}: 0.714
{Fat Free Strawberry Yogurt, Fat Free Blueberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% All Natural Greek Strained Yogurt with Honey}: 0.769
{Organic Strawberries, Crackers Harvest Whole Wheat, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.769
{Bag of Organic Bananas, Organic Cucumber, Organic Whole Milk Strawberry Beet Berry Yogurt Pouch} => {Organic Strawberries}: 0.769
{Yobaby Organic Plain Yogurt, Organic Strawberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.722
{Yobaby Organic Plain Yogurt, Organic Strawberries, Organic Baby Spinach} => {Bag of Organic Bananas}: 0.714
{"Yogurt, Organic Strawberries, Organic Raspberries} => {Bag of Organic Bananas}: 0.929
{Baby Portabella Mushrooms, Organic Strawberries, Organic Baby Spinach} => {Bag of Organic Bananas}: 0.833
{Wild Berry Smoothie, Bag of Organic Bananas, Organic Hass Avocado} => {Organic Strawberries}: 0.722
{Mache Rosettes French Salad Mix, Organic Strawberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.786
{Tangerine, Sparkling Lemon Water, Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}: 0.833
{Tangerine, Sparkling Lemon Water, Lime Sparkling Water} => {Sparkling Water Grapefruit}: 0.833
{Bag of Organic Bananas, Tommy/Kent/Keitt/Haden Mango, Organic Whole Milk} => {Organic Strawberries}: 0.833
{Tommy/Kent/Keitt/Haden Mango, Organic Strawberries, Organic Whole Milk} => {Bag of Organic Bananas}: 1.000
{Tommy/Kent/Keitt/Haden Mango, Organic Raspberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.833
{Organic Strawberries, YoBaby Blueberry Apple Yogurt, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.769
{YoBaby Peach Pear Yogurt, Bag of Organic Bananas, Organic Zucchini} => {Organic Baby Spinach}: 0.769
{YoBaby Peach Pear Yogurt, Organic Baby Spinach, Organic Zucchini} => {Bag of Organic Bananas}: 0.714
{Organic Strawberries, Organic Cucumber, Organic Rainbow Chard Vegetable} => {Bag of Organic Bananas}: 0.786
{Organic Baby Spinach, Dairy Free Coconut Milk Vanilla Yogurt Alternative, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.769
{Broccoli Crown, Organic Baby Spinach, Yellow Straightneck Squash} => {Organic Zucchini}: 0.769
{Bag of Organic Bananas, Organic Red Grapes, Organic Zucchini} => {Organic Strawberries}: 0.909
{Organic Strawberries, Organic Red Grapes, Organic Raspberries} => {Bag of Organic Bananas}: 0.706
{Organic Red Grapes, Organic Cucumber, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.846
{Bag of Organic Bananas, Organic Red Grapes, Organic Hass Avocado} => {Organic Strawberries}: 0.727
{Organic Strawberries, Organic Red Grapes, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.762
{Organic Strawberries, Organic Sliced Crimini Mushrooms, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.786
{Organic Red Potatoes, Organic Strawberries, Organic Cucumber} => {Organic Hass Avocado}: 0.733
{Organic Red Potatoes, Organic Cucumber, Organic Hass Avocado} => {Organic Strawberries}: 0.733
{Organic Blueberry Waffles, Organic Baby Spinach, Organic Avocado} => {Banana}: 0.733
{Organic Blueberry Waffles, Organic Strawberries, Organic Avocado} => {Banana}: 0.750
{Organic Raspberries, Baby Food Stage 2 Blueberry Pear & Purple Carrot, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.733
{Organic Baby Spinach, Organic Raspberries, Organic Mango} => {Organic Strawberries}: 0.714
{Curate Cherry Lime Sparkling Water, Blackberry Cucumber Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.733
{Sparkling Lemon Water, Peach Pear Flavored Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.909
{Sparkling Lemon Water, Blackberry Cucumber Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.917
{Sparkling Lemon Water, Lime Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.846
{Sparkling Lemon Water, Sparkling Water Grapefruit, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.714
{Lime Sparkling Water, Blackberry Cucumber Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.909
{Peach Pear Flavored Sparkling Water, Lime Sparkling Water, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.786
{Lime Sparkling Water, Sparkling Water Grapefruit, Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water}: 0.733
{Organic Mango Chunks, Organic Raspberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.909
{Organic Strawberries, Organic Mango Chunks, Organic Blueberries} => {Bag of Organic Bananas}: 0.800
{Bag of Organic Bananas, Organic Broccoli Crown, Organic Raspberries} => {Organic Strawberries}: 0.833
{Roasted Turkey, Large Lemon, Organic Avocado} => {Banana}: 0.762
{Kidz All Natural Baked Chicken Nuggets, Bag of Organic Bananas, Organic Hass Avocado} => {Organic Strawberries}: 0.786
{Kidz All Natural Baked Chicken Nuggets, Organic Strawberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.733
{Organic Baby Spinach, Banana, Original Rotisserie Chicken} => {Organic Avocado}: 0.706
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Fat Free Strawberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 0% Raspberry Yogurt}: 0.833
{Fat Free Strawberry Yogurt, Total 0% Raspberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}: 0.714
{Fat Free Strawberry Yogurt, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Greek Strained Yogurt with Cherry 5.3 oz} => {Total 0% Raspberry Yogurt}: 0.769
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Fat Free Strawberry Yogurt, Total 2% Greek Strained Yogurt with Cherry 5.3 oz} => {Total 0% Raspberry Yogurt}: 0.833
{Organic Frozen Mango Chunks, Bag of Organic Bananas, Organic Ginger Root} => {Organic Baby Spinach}: 0.833
{Organic Frozen Mango Chunks, Organic Baby Spinach, Organic Ginger Root} => {Bag of Organic Bananas}: 0.769
{Nonfat Icelandic Style Strawberry Yogurt, Non Fat Acai & Mixed Berries Yogurt, Vanilla Skyr Nonfat Yogurt, Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 0.867
{Nonfat Icelandic Style Strawberry Yogurt, Vanilla Skyr Nonfat Yogurt, Banana} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 0.700
{Nonfat Icelandic Style Strawberry Yogurt, Vanilla Skyr Nonfat Yogurt, Banana, Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Non Fat Raspberry Yogurt}: 0.786
{Nonfat Icelandic Style Strawberry Yogurt, Vanilla Skyr Nonfat Yogurt, Banana, Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 1.000
{Nonfat Icelandic Style Strawberry Yogurt, Vanilla Skyr Nonfat Yogurt, Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 0.711
{Emmentaler Swiss Slices, Organic Strawberries, Organic Raspberries} => {Bag of Organic Bananas}: 0.765
{Traditional Hummus, Banana, Honeycrisp Apple} => {Organic Avocado}: 0.714
{Traditional Hummus, Organic Baby Spinach, Banana} => {Organic Avocado}: 0.778
{Organic Raspberries, Raspberry Yoghurt, Organic Hass Avocado} => {Organic Strawberries}: 0.714
{Organic Strawberries, Organic Garlic, Organic Red On the Vine Tomato} => {Bag of Organic Bananas}: 0.714
{Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs, Organic Raspberries, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.765
{Organic Yellow Onion, Organic Garlic, Organic Sliced Peaches} => {Bag of Organic Bananas}: 0.733
{Organic Strawberries, Organic Raspberries, Authentic French Brioche Hamburger Buns} => {Bag of Organic Bananas}: 0.765
{Organic Strawberries, Authentic French Brioche Hamburger Buns, Organic Hass Avocado} => {Bag of Organic Bananas}: 0.867
{Bag of Organic Bananas, Bunny-Luv Fresh Organic Carrots, Organic Raspberries} => {Organic Blueberries}: 0.733
{Bunny-Luv Fresh Organic Carrots, Organic Raspberries, Organic Blueberries} => {Bag of Organic Bananas}: 0.733
{Organic Honey Sweet Whole Wheat Bread, Organic Baby Spinach, Organic Raspberries} => {Bag of Organic Bananas}: 0.714
{Organic Baby Spinach, Organic Avocado, Organic Pinto Beans} => {Banana}: 0.769
{Red Peppers, Organic Yellow Squash, Large Lemon} => {Organic Zucchini}: 1.000
{Bag of Organic Bananas, Organic Yellow Squash, Globe Eggplant} => {Organic Zucchini}: 0.833
{Organic Lemon, Bag of Organic Bananas, Organic Yellow Squash} => {Organic Zucchini}: 0.769
{Organic Gala Apples, Organic Yellow Squash, Asparagus} => {Organic Zucchini}: 0.909
{Bag of Organic Bananas, Organic Gala Apples, Organic Yellow Squash} => {Organic Zucchini}: 0.733
{Organic Strawberries, Limes, Organic Yellow Squash} => {Organic Zucchini}: 0.714
{Limes, Organic Yellow Squash, Large Lemon} => {Organic Zucchini}: 0.778
{Organic Raspberries, Organic Yellow Squash, Organic Hass Avocado} => {Organic Zucchini}: 0.706
{Organic Yellow Squash, Asparagus, Large Lemon} => {Organic Zucchini}: 0.833
{Bag of Organic Bananas, Organic Yellow Squash, Organic Avocado} => {Organic Zucchini}: 0.714
{Banana, Organic Whole Milk, Organic Bagged Carrots} => {Organic Avocado}: 0.800
{Banana, Organic Garlic, Organic Bagged Carrots} => {Organic Avocado}: 0.786
{Organic Strawberries, Organic Small Curd Cottage Cheese, Organic Kiwi} => {Bag of Organic Bananas}: 0.769
