{Oh My Yog! Madagascar Vanilla Trilayer Yogyurt, Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt} => {Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit}: 1.000
{Banana, Organic Strawberries} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 1.000
{Cran-Raspberry Flavored Sparkling Water, Kiwi Sandia Sparkling Water} => {Passionfruit Sparkling Water}: 1.000
{Cran-Raspberry Flavored Sparkling Water, Pineapple Strawberry Sparkling Water} => {Passionfruit Sparkling Water}: 1.000
{Lemon Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 1.000
{Lemon Sparkling Water, Passionfruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Lemon Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Grapefruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Curate Cherry Lime Sparkling Water, Grapefruit Sparkling Water} => {Pineapple Strawberry Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Passionfruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water} => {Pineapple Strawberry Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Passionfruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Passionfruit Sparkling Water, Pineapple Strawberry Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Kiwi Sandia Sparkling Water, Pineapple Strawberry Sparkling Water} => {Blackberry Cucumber Sparkling Water}: 1.000
{Organic Strawberries, Reduced Fat Chocolate Milk} => {Bag of Organic Bananas}: 1.000
{"Olives, Bag of Organic Bananas} => {Organic Red Onion}: 1.000
{Organic Strawberries, Organic Yukon Select Fries} => {Bag of Organic Bananas}: 1.000
{Kiwi Sandia Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Lemon Sparkling Water}: 1.000
{Lemon Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Kiwi Sandia Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Lemon Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Lemon Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Curate Cherry Lime Sparkling Water, Lemon Sparkling Water, Natural Lemon Flavored Sparkling Water} => {Kiwi Sandia Sparkling Water}: 1.000
{Organic Garlic, Organic Hummus} => {Organic Hass Avocado}: 1.000
{Organic Raspberries, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Organic Quinoa & Brown Rice With Garlic} => {Organic Strawberries}: 1.000
{Organic Large Extra Fancy Fuji Apple, Organic Quinoa & Brown Rice With Garlic} => {Bag of Organic Bananas}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Total 0% Raspberry Yogurt, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}: 1.000
{Organic Fancy Shredded Mozzarella Cheese, Organic Raspberries} => {Bag of Organic Bananas}: 1.000
{Organic Hass Avocado, Organic Raspberries} => {Bag of Organic Bananas}: 1.000
{Organic Honey Nut O's Cereal, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Cherry Pomegranate Greek Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Fat Free Strawberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 0% Raspberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Fat Free Strawberry Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 0% Raspberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Fat Free Blueberry Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Fat Free Strawberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Fat Free Blueberry Yogurt} => {Fat Free Strawberry Yogurt}: 1.000
{Broccoli & Apple Stage 2 Baby Food, Organic Yellow Onion} => {Organic Baby Spinach}: 1.000
{Organic Red Bartlett Pear, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Bolthouse Baby Carrots, Organic Avocado} => {Banana}: 1.000
{Bolthouse Baby Carrots, Large Lemon} => {Banana}: 1.000
{Bag of Organic Bananas, Organic Cucumber, Organic Strawberries} => {Organic Whole Milk Strawberry Beet Berry Yogurt Pouch}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Fat Free Strawberry Yogurt}: 1.000
{Fat Free Blueberry Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Fat Free Strawberry Yogurt}: 1.000
{Fat Free Blueberry Yogurt, Total 0% with Honey Nonfat Greek Strained Yogurt} => {Fat Free Strawberry Yogurt}: 1.000
{Fat Free Blueberry Yogurt, Total 2% All Natural Greek Strained Yogurt with Honey} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Mild Diced Green Chiles, Yellow Onions} => {Limes}: 1.000
{Bag of Organic Bananas, Mache Rosettes French Salad Mix} => {Organic Strawberries}: 1.000
{Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Tangerine} => {Sparkling Water Grapefruit}: 1.000
{Organic Strawberries, Tommy/Kent/Keitt/Haden Mango} => {Bag of Organic Bananas}: 1.000
{"Milk, Sparkling Lemon Water} => {Sparkling Water Grapefruit}: 1.000
{Baby Cucumbers, Blackberries} => {Raspberries}: 1.000
{100% Recycled Bathroom Tissue, Bag of Organic Bananas} => {Organic Strawberries}: 1.000
{Organic Baby Spinach, Organic Navel Orange} => {Bag of Organic Bananas}: 1.000
{Organic Garlic, Organic Red Lentils} => {Bag of Organic Bananas}: 1.000
{Organic Cucumber, Organic Red Grapes, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Raspberries, Organic Sliced Crimini Mushrooms} => {Bag of Organic Bananas}: 1.000
{Michigan Organic Kale, Organic Red Onion} => {Limes}: 1.000
{Backyard Barbeque Potato Chips, Banana} => {Organic Strawberries}: 1.000
{Bag of Organic Bananas, Organic Raspberries} => {Organic Strawberries}: 1.000
{Banana, Organic Raspberries} => {Organic Strawberries}: 1.000
{Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit} => {Kiwi Sandia Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Peach Pear Flavored Sparkling Water, Sparkling Lemon Water} => {Kiwi Sandia Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Lime Sparkling Water, Sparkling Lemon Water} => {Kiwi Sandia Sparkling Water}: 1.000
{Lime Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit} => {Kiwi Sandia Sparkling Water}: 1.000
{Blackberry Cucumber Sparkling Water, Lime Sparkling Water, Peach Pear Flavored Sparkling Water} => {Kiwi Sandia Sparkling Water}: 1.000
{Organic Mayonnaise, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Organic Large Extra Fancy Fuji Apple, Organic Mango Chunks} => {Bag of Organic Bananas}: 1.000
{Asparagus, Roasted Turkey} => {Banana}: 1.000
{Banana, Roasted Turkey, Seedless Red Grapes} => {Organic Avocado}: 1.000
{Bag of Organic Bananas, Kidz All Natural Baked Chicken Nuggets} => {Organic Strawberries}: 1.000
{Bag of Organic Bananas, Organic Large Extra Fancy Fuji Apple} => {Organic Hass Avocado}: 1.000
{Gluten Free 7 Grain Bread, Organic Large Extra Fancy Fuji Apple} => {Bag of Organic Bananas}: 1.000
{Fat Free Strawberry Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 0% Raspberry Yogurt}: 1.000
{Banana, Nonfat Icelandic Style Strawberry Yogurt, Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 1.000
{Organic Stringles Mozzarella String Cheese, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Emmentaler Swiss Slices, Organic Strawberries} => {Organic Raspberries}: 1.000
{Bag of Organic Bananas, Emmentaler Swiss Slices, Organic Raspberries} => {Organic Strawberries}: 1.000
{Emmentaler Swiss Slices, Organic Raspberries, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Fresh Cauliflower, Traditional Hummus} => {Large Lemon}: 1.000
{Organic Kiwi, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Sliced Peaches, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Black Plum, Organic Navel Orange} => {Bag of Organic Bananas}: 1.000
{Organic Sliced White Mushrooms, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Organic Yellow Squash, Red Peppers} => {Organic Zucchini}: 1.000
{Organic Raspberries, Organic Red Bell Pepper} => {Organic Zucchini}: 1.000
{Organic Raspberries, Organic Yellow Squash} => {Organic Zucchini}: 1.000
{Organic Bagged Carrots, Organic Blueberries} => {Banana}: 1.000
{Organic Small Curd Cottage Cheese, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Small Curd Cottage Cheese} => {Bag of Organic Bananas}: 1.000
{Organic Broccoli, Organic Red Potato} => {Bag of Organic Bananas}: 1.000
{Organic Low Sodium Vegetable Broth, Organic Red Bell Pepper} => {Organic Yellow Onion}: 1.000
{Kiwi Sandia Sparkling Water, Lemon Sparkling Water, Passionfruit Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Kiwi Sandia Sparkling Water, Lemon Sparkling Water} => {Curate Cherry Lime Sparkling Water}: 1.000
{Organic Original Hommus, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Medjool Dates, Organic Navel Orange} => {Bag of Organic Bananas}: 1.000
{Organic Garlic, Organic Multigrain Waffles} => {Large Lemon}: 1.000
{Organic Multigrain Waffles, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Cream Cheese Spread, Organic Unsweetened Almond Milk} => {Bag of Organic Bananas}: 1.000
{Organic Cucumber, Organic Lemon} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Vegetable Broth} => {Bag of Organic Bananas}: 1.000
{Organic Baby Kale Mix, Organic Baby Spinach, Organic Cucumber} => {Bag of Organic Bananas}: 1.000
{Banana, Non Fat Raspberry Yogurt, Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}: 1.000
{Organic Raspberries, Organic Strawberry Fruit Spread} => {Organic Strawberries}: 1.000
{Kiwi Sandia Sparkling Water, Lime Sparkling Water, Pure Sparkling Water} => {Sparkling Lemon Water}: 1.000
{Kiwi Sandia Sparkling Water, Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Kiwi Sandia Sparkling Water, Lime Sparkling Water, Sparkling Water Berry} => {Sparkling Lemon Water}: 1.000
{Kiwi Sandia Sparkling Water, Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Blackberry Cucumber Sparkling Water, Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Sparkling Lemon Water} => {Kiwi Sandia Sparkling Water}: 1.000
{Honeycrisp Apple, Organic Blue Corn Tortilla Chips} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Organic Bunny Fruit Snacks Berry Patch} => {Organic Strawberries}: 1.000
{Organic Bunny Fruit Snacks Berry Patch, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Grape Tomatoes, Organic Whole Cashews} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Whole Grassmilk Milk} => {Bag of Organic Bananas}: 1.000
{Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Passionfruit Sparkling Water, Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}: 1.000
{Passionfruit Sparkling Water, Peach Pear Flavored Sparkling Water, Sparkling Lemon Water} => {Sparkling Water Grapefruit}: 1.000
{Cran Raspberry Sparkling Water, Lime Sparkling Water, Passionfruit Sparkling Water} => {Sparkling Water Grapefruit}: 1.000
{Cran Raspberry Sparkling Water, Lime Sparkling Water, Passionfruit Sparkling Water, Sparkling Lemon Water} => {Sparkling Water Grapefruit}: 1.000
{Cran Raspberry Sparkling Water, Lime Sparkling Water, Passionfruit Sparkling Water, Sparkling Water Grapefruit} => {Sparkling Lemon Water}: 1.000
{Organic Chicken & Apple Sausage, Organic Cucumber} => {Bag of Organic Bananas}: 1.000
{Organic Yellow Onion, Plain Greek Yogurt} => {Bag of Organic Bananas}: 1.000
{Organic Orange Bell Pepper, Organic Thompson Seedless Raisins} => {Bag of Organic Bananas}: 1.000
{Organic Orange Bell Pepper, Organic Snipped Green Beans} => {Organic Raspberries}: 1.000
{Organic Navel Orange, Organic Orange Bell Pepper, Organic Raspberries} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Organic Navel Orange, Organic Orange Bell Pepper} => {Organic Raspberries}: 1.000
{Organic Lemon, Organic Navel Orange, Organic Orange Bell Pepper} => {Bag of Organic Bananas}: 1.000
{Organic Lemon, Organic Navel Orange, Organic Orange Bell Pepper} => {Bag of Organic Bananas}: 1.000
{Organic Orange Bell Pepper, Organic Raspberries, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Peach Pear Flavored Sparkling Water, Pure Sparkling Water, Sparkling Lemon Water} => {Sparkling Water Grapefruit}: 1.000
{Lime Sparkling Water, Pure Sparkling Water, Sparkling Water Grapefruit} => {Sparkling Lemon Water}: 1.000
{Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Cran Raspberry Sparkling Water, Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit} => {Sparkling Lemon Water}: 1.000
{Lime Sparkling Water, Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Blackberry Cucumber Sparkling Water, Lime Sparkling Water, Sparkling Water Berry} => {Sparkling Lemon Water}: 1.000
{Organic Plain Greek Whole Milk Yogurt, Organic Red Bell Pepper} => {Bag of Organic Bananas}: 1.000
{Limes, Organic Strawberries} => {Organic Garlic}: 1.000
{Bag of Organic Bananas, Organic Cheese Frozen Pizza, Organic Grape Tomatoes} => {Organic Strawberries}: 1.000
{Grade A Large Eggs Cage Free Omega 3, Strawberries} => {Banana}: 1.000
{Organic Red Bell Pepper, Whole Milk Plain Yogurt} => {Organic Strawberries}: 1.000
{Banana, Whole Milk Plain Yogurt} => {Organic Whole Milk}: 1.000
{Organic Lemon, Original Pure Creamy Almond Milk} => {Bag of Organic Bananas}: 1.000
{Organic Fuji Apple, Organic Raspberries} => {Bag of Organic Bananas}: 1.000
{Organic Garlic, Organic Shredded Mozzarella} => {Bag of Organic Bananas}: 1.000
{Organic Shredded Mozzarella, Organic Whole String Cheese} => {Bag of Organic Bananas}: 1.000
{Bunched Cilantro, Organic Whole Kernel Sweet Corn No Salt Added} => {Limes}: 1.000
{Bunched Cilantro, Corn Tortillas} => {Limes}: 1.000
{Organic Ketchup, Organic Zucchini} => {Bag of Organic Bananas}: 1.000
{Organic Large Brown Eggs, Organic Strawberries, Organic Whole Milk} => {Banana}: 1.000
{Organic Baby Kale, Organic Cucumber} => {Organic Baby Spinach}: 1.000
{Organic Whole String Cheese, Strawberry Preserves} => {Banana}: 1.000
{Sparkling Lemon Water, Total 2% All Natural Plain Greek Yogurt} => {Lime Sparkling Water}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% All Natural Plain Greek Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% All Natural Plain Greek Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% All Natural Plain Greek Yogurt} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Broccoli Crown, Organic Baby Spinach} => {Banana}: 1.000
{Limes, Organic Baby Spinach} => {Large Lemon}: 1.000
{Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}: 1.000
{Grade A Large White Eggs, Yellow Onions} => {Banana}: 1.000
{Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Pure Sparkling Water} => {Sparkling Lemon Water}: 1.000
{Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Pure Sparkling Water, Sparkling Lemon Water} => {Sparkling Water Grapefruit}: 1.000
{Lime Sparkling Water, Pure Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit} => {Peach Pear Flavored Sparkling Water}: 1.000
{Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Pure Sparkling Water, Sparkling Water Grapefruit} => {Sparkling Lemon Water}: 1.000
{Organic Granny Smith Apple, Organic Hass Avocado} => {Organic Zucchini}: 1.000
{Bag of Organic Bananas, Organic Red Bell Pepper, Organic Yellow Onion} => {Organic Raspberries}: 1.000
{Organic Raspberries, Organic Red Bell Pepper, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Red Onion, Organic Yellow Onion} => {Organic Zucchini}: 1.000
{Organic Mexican Blend Finely Shredded Cheese, Organic Tomato Cluster} => {Bag of Organic Bananas}: 1.000
{Celery Hearts, Organic Raspberries, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Seedless Red Grapes, Strawberries} => {Banana}: 1.000
{Apple Honeycrisp Organic, Organic D'Anjou Pears} => {Bag of Organic Bananas}: 1.000
{Organic Raspberries, Organic Yellow Peaches} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Navel Orange} => {Organic Strawberries}: 1.000
{Bag of Organic Bananas, Organic Lemon, Organic Yellow Onion} => {Organic Hass Avocado}: 1.000
{Organic Cucumber, Organic Lemon, Organic Yellow Peaches} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Organic Baby Spinach, Organic Lemon} => {Organic Hass Avocado}: 1.000
{Organic Raspberries, Organic Yellow Peaches, Organic Zucchini} => {Bag of Organic Bananas}: 1.000
{Organic American Cheese Singles, Organic Yellow Onion} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Yams} => {Banana}: 1.000
{Organic Reduced Fat 2% Milk, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Large Alfresco Eggs} => {Organic Hass Avocado}: 1.000
{Cantaloupe, Organic Bosc Pear} => {Bag of Organic Bananas}: 1.000
{Limes, Strawberries} => {Banana}: 1.000
{Organic Baby Spinach Salad, Organic Lemon} => {Bag of Organic Bananas}: 1.000
{Peach Pear Flavored Sparkling Water, Pure Sparkling Water, Sparkling Lemon Water, Sparkling Water Berry} => {Sparkling Water Grapefruit}: 1.000
{Lime Sparkling Water, Peach Pear Flavored Sparkling Water, Pure Sparkling Water, Sparkling Water Berry} => {Sparkling Lemon Water}: 1.000
{Organic Kiwi, Organic Large Green Asparagus} => {Bag of Organic Bananas}: 1.000
{Organic Large Green Asparagus, Organic Strawberries, Organic Whole Milk} => {Bag of Organic Bananas}: 1.000
{Organic Large Green Asparagus, Organic Strawberries, Organic Whole Milk} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Hass Avocado, Organic Large Green Asparagus} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Cucumber, Organic Large Green Asparagus} => {Bag of Organic Bananas}: 1.000
{Organic Cucumber, Organic Large Green Asparagus, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Large Green Asparagus, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Cripps Pink Apples, Organic Kiwi} => {Bag of Organic Bananas}: 1.000
{"YoKids Squeezers Organic Low-Fat Yogurt, Honeycrisp Apple} => {Banana}: 1.000
{Large Lemon, Organic Whole Milk, Sourdough Bread} => {Banana}: 1.000
{Organic Garlic, Organic Mint, Organic Strawberries} => {Organic Hass Avocado}: 1.000
{Bag of Organic Bananas, Organic Mint, Organic Strawberries} => {Organic Hass Avocado}: 1.000
{100% Whole Wheat Bread, Organic Old Fashioned Rolled Oats} => {Bag of Organic Bananas}: 1.000
{Organic Navel Orange, Organic Old Fashioned Rolled Oats} => {Bag of Organic Bananas}: 1.000
{Organic Broccoli, Organic Frozen Peas} => {Bag of Organic Bananas}: 1.000
{Organic Cucumber, Organic Frozen Peas, Organic Strawberries} => {Organic Raspberries}: 1.000
{Marinara Sauce, Organic Carrot Bunch} => {Bag of Organic Bananas}: 1.000
{Fresh Cauliflower, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Leek, Seedless Red Grapes} => {Bag of Organic Bananas}: 1.000
{Fresh Cauliflower, Organic Leek, Organic Yellow Onion} => {Organic Garlic}: 1.000
{Organic Raspberries, Organic Snipped Green Beans} => {Bag of Organic Bananas}: 1.000
{Organic Kiwi, Organic Snipped Green Beans} => {Bag of Organic Bananas}: 1.000
{Bag of Organic Bananas, Organic Garlic, Organic Snipped Green Beans} => {Organic Strawberries}: 1.000
{Organic Cucumber, Organic Snipped Green Beans, Organic Zucchini} => {Bag of Organic Bananas}: 1.000
{Organic Baby Spinach, Organic Cucumber, Organic Snipped Green Beans} => {Organic Strawberries}: 1.000
{Organic Raspberries, Organic Snipped Green Beans, Organic Strawberries} => {Organic Blueberries}: 1.000
{Bag of Organic Bananas, Organic Baby Spinach, Organic Snipped Green Beans} => {Organic Strawberries}: 1.000
{English Seedless Cucumber, Organic Large Extra Fancy Fuji Apple} => {Bag of Organic Bananas}: 1.000
{English Seedless Cucumber, Limes, Organic Baby Spinach} => {Large Lemon}: 1.000
{Limes, Shallot} => {Large Lemon}: 1.000
{Organic Cilantro, Organic Raspberries} => {Organic Italian Parsley Bunch}: 1.000
{Large Lemon, Organic D'Anjou Pears} => {Limes}: 1.000
{Organic Broccoli Crowns, Organic Red Onion} => {Bag of Organic Bananas}: 1.000
